terra10054v45pshdxtjdtumtrsrrrg2me42andv9nu0,785215370
terra100agvf9uzd8t6xwnhe0hzlypcg6cr3ytq5w95k,1000000
terra100ds8e7knvax0jlype78sw3h8cklme43ryv5jl,7000000
terra100dxspkurxsa29upl7s9pywqxtff70r6l9ux2u,1250000000
terra100gn9hrlyqmjrwtnwxjvp2zn4gg2zlh346fvt5,3000000
terra100kufzet37vm8df66ednsghfsrqufjnqsl6v2x,117396
terra100pmvhuzgxjgvgal0raxfxn4nfz405rrpgnw5y,332882472
terra100ppdtl2vkn9lljyee9meulzx3nr9z8dhhtlfx,5000000
terra100rezu53d2x2gctv69tv6d8deek3zk8gyvl25v,21000000
terra100tu0q9xhmy43apmcvsh2fe8vwm2upfprm2w00,10000
terra100ucng5j2gslu52udkrvq8gey6hpggydjs4svk,20289065
terra100zh7hn3mpe30f7x7fsd8mzsrv7rtkvmexqjep,17056
terra102239yegezy33fzws2uf8l7jugw32906pkr75d,250000000
terra1026hc5zj3jrsxhzc206gek6cthpgcre6z0enn5,50000000
terra10284khyjahzd2svl4q3p85kdjqy6q8nrmsgvyz,387522
terra102fl2vzzw74zcwe03ykq6pn2yx5ft5e67wuv6z,506374389
terra102jfjl0ss6w9rcp9y75746kyf678hknu3lgkks,54086
terra102kgzw9849fvufhkunq4ljtkd2jgj03ztwx44u,503990214
terra102ly9mfvdayyh4c3m54tkrcm4qzzwy6lcefsph,253434161
terra102rwj3mayet0j5wg5aq6mll7dkkeyun6jt6dks,193624915
terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp,3752583257
terra102ws20myl9m88rlnvnzypu7vnwyrn82gse4neh,40000000
terra102x08jrsxg2z4mcvux0fd7mc85zcdvdezzxdhf,9064565
terra102ynau3wfcm9lp6r7p0t43xrqlk02du5te3264,43483296
terra10323w7lzvtrljn0f05d5pzh4zl6q50aedvx6cp,19844369
terra10335y9rxk658qgmr9q6jys4lkc4t39xr4wgrf4,507222672
terra1033q8552c08r3mz55dce5rvl3c3la9fw8wvkz7,10219222
terra1034kewxnd3qe4u4f89fky537adkr7jsmuvtkhm,8130000
terra1036r2qs5arlnq326983w9nvyzuj6p9m85hkw7c,100000
terra1039rmnnjk5m44xm42q3wxl2d6ags5y3e5cd4tg,300000000
terra103anu6zfwrwls637y33ksq2zuf7k6qd2hvgcq5,55495459
terra103aq4qp99y4vea6e73ll23ykuten4ksgz34k5n,68641825
terra103avk27ekcztj8v6pny4vuyclwt2w6fe8mxlhs,1000000
terra103cdsmmtv0wt3vxuhmkgj2aagqzr8qhq2wnv7z,4128
